nombre git,nombre,encabezado,name,tipo,estado,autor,tags,ayudantes,costo,dificultad,tarda,permite
solv-improve-signal-can,¿Cómo mejorar mi señal móvil con una lata? ,Haz una pequeña antena para tu celular.,How to improve my signal with a can?,Solución,Publicado,Mateo,"Dispositivos, Señal",Sin ayudantes,Gratis,Media,Horas,Mejorar
solv-internet-speedtest,¿Cómo saber la velocidad de tu conexión a Internet? ,Realiza una prueba de velocidad de tu internet.,How to test the speed of your Internet connection?,Solución,Publicado,Belén,Señal,Sin ayudantes,Gratis,Fácil,Minutos,Medir
solv-know-wifi-passwords,¿Cómo saber las contraseñas WiFi de mi celular? ,Encuentra (y comparte) las contraseñas que se guardan en tu celular.,How to know the WiFi passwords of my cell phone?,Solución,Publicado,Belén,Señal,Sin ayudantes,Gratis,Complejo,Minutos,Compartir
solv-internet-quality-diagnosis,¿Cómo saber qué tan buena es tu señal móvil sin una prueba de velocidad? ,Tipos de señal y formas de reconocer qué tan buena es tu señal.,How do you know how good your Internet connection is?,Solución,Publicado,Manuela,Señal,1 ayudante,Gratis,Fácil,Minutos,Medir
solv-type-internet-signal,¿Cómo saber qué tipo de señal WiFi tienes? ,Conoce cómo llega el internet a tu dispositivo.,How to know what kind of Internet signal you have?,Solución,Publicado,Belén,Señal,Sin ayudantes,Gratis,Media,Minutos,Medir
solv-fish-game,¿Cómo usar el juego para aprender a cuidar equipos en comunidad? ,Una solución de gobernanza para manejar los recursos comunes.,How to use the game to learn how to take care of equipment in community?,Solución,Publicado,Mateo,"Dispositivos, Personas",Más de 3 ayudantes,Gratis,Media,Horas,Compartir
solv-need-3Gantenna,¿Necesito comprar una antena 3G/4G?,Descubre la antena que más te conviene.,Do I need to buy a 3G/4G antenna? How to make the decision,Solución,Publicado,Sanjay,Señal,Sin ayudantes,Gasto mensual,Media,Horas,"Conseguir, Mejorar"
solv-choose-satellite-internet,¿Qué Internet satelital elegir según mis necesidades?  ,Invierte bien tu dinero para instalar internet satelital.,Which satellite Internet to choose,Solución,Publicado,Nicolás,Señal,Sin ayudantes,Gratis,Media,Horas,Mejorar
solv-share-internet-wirelessly,¿Quieres compartir tu internet sin cables?,Configura tu Raspberry Pi.,Do you want to share your internet wirelessly? Configure your Raspberry Pi ,Solución,Publicado,Gabriel,"Dispositivos, Señal",Sin ayudantes,< USD 25,Media,Minutos,Compartir
solv-financial-support-connect,¿Tu comunidad necesita apoyo económico para conectarse a Internet?  ,Algunas organizaciones que apoyan el internet a bajo costo.,Does your community need financial support to connect to the Internet? ,Solución,Publicado,Belén,"Dispositivos, Señal",2-3 ayudantes,USD 25 - 50,Media,Días,Conseguir
solv-bicigenerator,¿Cómo generar electricidad usando una bicicleta?,Consigue electricidad construyendo un bicigenerador.,Bicigenerator,Solución,Publicado,Nicolás,Electricidad,2-3 ayudantes,> USD 50,Complejo,Días,Conseguir
solv-jangala-internet-box,El internet en una caja: Big Box de Jangala,Gestiona y configura un potente router de internet inalámbrico. ,Jangala's Big Box: Manages a powerful wireless internet router for digitally excluded communities,Solución,Publicado,Sanjay,"Dispositivos, Señal",Más de 3 ayudantes,Gratis,Media,Horas,"Conseguir, Mejorar, Compartir"
solv-find-wifi-app,¿Qué redes WiFi están libres y disponibles para conectarme a internet?,Busca señales de WiFi a tu alrededor con una aplicación móvil ,Search for WiFi signals around you with a mobile app,Solución,Publicado,Sanjay,Señal,Sin ayudantes,Gratis,Media,Minutos,"Conseguir, Mejorar"
solv-purchase-temp-satellite,¿Cómo comprar una conexión temporal a internet satelital?,Un código o PIN para acceder a internet satelital.,How to purchase a temporary satellite Internet connection ,Solución,Publicado,Belén,Señal,Sin ayudantes,Gratis,Fácil,Minutos,Conseguir
solv-build-3Gantenna,Construye una antena 3G casera ,Captura señal con una antena hecha en casa.,Build a homemade 3G antenna,Solución,Publicado,Nicolás,Señal,1 ayudante,< USD 25,Media,Horas,"Mejorar, Conseguir"
solv-create-poweful-message,¿Cómo movilizar a otros con tu causa?,Crea un mensaje potente para que los demás conecten con tu propósito.,Create a powerful message,Solución,Publicado,Manuela,"Personas, Espacio",1 ayudante,< USD 25,Fácil,Horas,Mejorar
solv-discover-audience,¿Cómo llegarle a las personas que más valorarán tu mensaje?,Descubre quién es tu audiencia.,Discover your audience,Solución,Publicado,Manuela,Personas,Sin ayudantes,Gratis,Media,Horas,Mejorar
solv-spread-message,¿Cómo difundir un mensaje?,Llega al corazón de las personas a las que mueve tu mensaje.,Spread your message ,Solución,Publicado,Manuela,Personas,2-3 ayudantes,< USD 25,Media,Días,Compartir
solv-funding-community-internet,¿Cómo recolectar recursos económicos en comunidad?,Haz una colecta para pagar internet comunitario.,Look for funding to pay for community internet,Solución,Publicado,Sanjay,"Personas, Señal",Más de 3 ayudantes,Gasto mensual,Complejo,Horas,Compartir
solv-pocket-wikipedia,¿Cómo tener acceso a una enciclopedia sin tener internet?,"Instala Kiwix, una Wikipedia de bolsillo en tu RaspberryPi.",A pocket Wikipedia in your RaspberryPi,Solución,Publicado,Nicolás,Dispositivos,Sin ayudantes,Gratis,Fácil,Horas,Conseguir
solv-community-meeting-space,¿Cómo pedir un salón comunal o cualquier espacio comunitario?,¡Los espacios públicos son de todos!,Request a Community Room,Solución,Publicado,Manuela,Espacio,2-3 ayudantes,Gratis,Fácil,Días,Conseguir
solv-raspberrypi-pocket-internet,¿Cómo instalar un servidor web en un computador de bolsillo?,Raspberry Pi: Una pequeña Internet de bolsillo.,Raspberry Pi: A small pocket-sized Internet,Solución,Publicado,Gabriel,Dispositivos,2-3 ayudantes,> USD 50,Complejo,Horas,Conseguir
